2aagaiaccadaa0	2	0002	56974	5	Edgar And Ellen		1	1	1	1	1	1	1	(G)	
2aagaiaccadfa0	2	0002	00606	25	Zombie Hotel		1	1	1	1	1	1	1	(C)	
2aagaiaccbaaa0	2	0002	94892	20	Atomic Betty		1	1	1	1	1	1	1	(G)	
2aagaiaccbcaa0	2	0002	78792	15	Tracey McBean		1	1	1	1	1	1	1	(G)	
2aagaiaccbdfa0	2	0002	16778	25	Fantastic Flying Journey		1	1	1	1	1	1	1	(G)	
2aagaiacccaaa0	2	0002	44352	10	Harry and His Bucket Full of Dinosaurs		1	1	1	1	1	1	1	(G)	
2aagaiacccbaa0	2	0002	34457	15	The Wiggles		1	1	1	1	1	1	1	(G)	
2aagaiaccccfa0	2	0002	83490	5	Pingu		1	1	1	1	1	1	1	(G)	
2aagaiacccdaa0	2	0002	27977	25	Play with Me Sesame		1	1	1	1	1	1	1	(G)	
2aagaiacccffa0	2	0002	45441	15	Pinky Dinky Doo		1	1	1	1	1	1	1	(G)	
2aagaiaccdbaa0	2	0002	31960	10	Rubbadubbers		1	1	1	1	1	1	1	(G)	
2aagaiaccdcaa0	2	0002	88285	5	Sali Mali		1	1	1	1	1	1	1	(G)	
2aagaiaccdcfa0	2	0002	09117	5	Bananas in Pyjamas		1	1	1	1	1	1	1	(G)	
2aagaiaccddaa0	2	0002	03800	30	Play School		1	1	1	1	1	1	1	(G)	
2aagaiadaaaaa0	2	0002	85975	15	For the Juniors		1	1	1	1	1	1	1	(G)	
2aagaiadaabfa0	2	0002	98962	5	Our Animals		1	1	1	1	1	1	1	(G)	
2aagaiadaacaa0	2	0002	98877	20	Rewind		1	1	1	1	1	1	1	(G)	
2aagaiadaaeaa0	2	0002	61462	20	The Big Questions: Nature of Scientific Enquiry		1	1	1	1	1	1	1	(G)	
2aagaiadabaaa0	2	0002	92931	60	Crime Team		1	1	1	1	1	1	9	(PG)	
2aagaiadacaaa0	2	0002	32613	30	Midday Report		1	1	1	1	1	1			
2aagaiadacdaa0	2	0002	35088	60	Lovejoy		1	1	1	1	1	1	9	(PG)	
2aagaiadaddaa0	2	0002	57289	30	Strictly Dancing		1	1	1	1	1	1	9	(PG)	
2aagaiadaeaaa0	2	0002	37038	20	The Bill		1	1	1	1	1	1	9	(PG)	
2aagaiadaecaa0	2	0002	54998	40	Nu-Country		1	1	1	1	1	1	9	(PG)	
2aagaiadafaaa0	2	0002	09117	5	Bananas in Pyjamas		1	1	1	1	1	1	1	(G)	
2aagaiadafafa0	2	0002	32839	25	Poko		1	1	1	1	1	1	1	(G)	
2aagaiadafdaa0	2	0002	03800	30	Play School		1	1	1	1	1	1	1	(G)	
2aagaiadagaaa0	2	0002	46852	25	Arthur		1	1	1	1	1	1	1	(G)	
